"","cdm_name","group_level","min_data","max_data","shortage_year","estimate_before","estimate_after","diff","variable_level","country","data_type","set","variable_name"
"1","AP-HM","amoxicillin_clavulanate",2014,2024,2023,2.46666666666667,1.5,0.608108108108108,"Cellulitis_erysipelas_woundinfection","France","secondary","inc","Indication any time prior"
"2","AP-HM","amoxicillin_clavulanate",2014,2024,2023,0.466666666666667,0.35,0.75,"Chronic_bronchitis","France","secondary","inc","Indication any time prior"
"3","AP-HM","amoxicillin_clavulanate",2014,2024,2023,3.83333333333333,3.05,0.795652173913044,"Cystitis_bacteriuria","France","secondary","inc","Indication any time prior"
"4","AP-HM","amoxicillin_clavulanate",2014,2024,2023,46.9333333333333,35.1,0.747869318181818,"Infection","France","secondary","inc","Indication any time prior"
"5","AP-HM","amoxicillin_clavulanate",2014,2024,2023,2.23333333333333,1.7,0.761194029850746,"Osteomyelitis","France","secondary","inc","Indication any time prior"
"6","AP-HM","amoxicillin_clavulanate",2014,2024,2023,23.8333333333333,18.6,0.78041958041958,"Pneumonia","France","secondary","inc","Indication any time prior"
"7","AP-HM","amoxicillin_clavulanate",2014,2024,2023,2.5,1.75,0.7,"Sinusitis","France","secondary","inc","Indication any time prior"
"8","AP-HM","amoxicillin_clavulanate",2014,2024,2023,1.7,0.75,0.441176470588235,"Cellulitis_erysipelas_woundinfection","France","secondary","inc","Indication during prior 30 days"
"9","AP-HM","amoxicillin_clavulanate",2014,2024,2023,4.9,1.2,0.244897959183673,"Covid_19","France","secondary","inc","Indication during prior 30 days"
"10","AP-HM","amoxicillin_clavulanate",2014,2024,2023,1.43333333333333,0.75,0.523255813953488,"Cystitis_bacteriuria","France","secondary","inc","Indication during prior 30 days"
"11","AP-HM","amoxicillin_clavulanate",2014,2024,2023,33.0333333333333,15.85,0.479818365287588,"Infection","France","secondary","inc","Indication during prior 30 days"
"12","AP-HM","amoxicillin_clavulanate",2014,2024,2023,1.1,0.55,0.5,"Osteomyelitis","France","secondary","inc","Indication during prior 30 days"
"13","AP-HM","amoxicillin_clavulanate",2014,2024,2023,15.9333333333333,8.85,0.555439330543933,"Pneumonia","France","secondary","inc","Indication during prior 30 days"
"14","AP-HM","amoxicillin_clavulanate",2014,2024,2023,2,1,0.5,"Sinusitis","France","secondary","inc","Indication during prior 30 days"
"15","AP-HM","amoxicillin_clavulanate",2015,2024,2023,0.2,0,0,"Chronic_bronchitis","France","secondary","inc","Indication during prior 30 days"
"16","AP-HM","amoxicillin_clavulanate",2015,2023,2023,0.3,0.1,0.333333333333333,"Osteomyelitis","France","secondary","inc","Indication on index date"
"17","AP-HM","amoxicillin_clavulanate",2014,2024,2023,1.3,0.35,0.269230769230769,"Covid_19","France","secondary","inc","Indication on index date"
"18","AP-HM","amoxicillin_clavulanate",2014,2024,2023,9.1,4.75,0.521978021978022,"Infection","France","secondary","inc","Indication on index date"
"19","AP-HM","amoxicillin_clavulanate",2014,2024,2023,4.23333333333333,2.75,0.649606299212598,"Pneumonia","France","secondary","inc","Indication on index date"
"20","AP-HM","amoxicillin_clavulanate",2015,2024,2023,0.966666666666667,0.35,0.362068965517241,"Cellulitis_erysipelas_woundinfection","France","secondary","inc","Indication on index date"
"21","BZMC","amoxicillin_clavulanate",2020,2024,2023,14.3333333333333,10,0.697674418604651,"Cellulitis_erysipelas_woundinfection","Israel","secondary","inc","Indication any time prior"
"22","BZMC","amoxicillin_clavulanate",2020,2024,2023,2.23333333333333,1.4,0.626865671641791,"Chronic_bronchitis","Israel","secondary","inc","Indication any time prior"
"23","BZMC","amoxicillin_clavulanate",2020,2024,2023,12.5666666666667,9.1,0.724137931034483,"Covid_19","Israel","secondary","inc","Indication any time prior"
"24","BZMC","amoxicillin_clavulanate",2021,2024,2023,1,1.25,1.25,"Osteomyelitis","Israel","secondary","inc","Indication any time prior"
"25","BZMC","amoxicillin_clavulanate",2021,2024,2023,6,7.6,1.26666666666667,"Sinusitis","Israel","secondary","inc","Indication any time prior"
"26","BZMC","amoxicillin_clavulanate",2020,2024,2023,7.76666666666667,4.3,0.553648068669528,"Cellulitis_erysipelas_woundinfection","Israel","secondary","inc","Indication during prior 30 days"
"27","BZMC","amoxicillin_clavulanate",2020,2024,2023,8.36666666666667,1.85,0.221115537848606,"Covid_19","Israel","secondary","inc","Indication during prior 30 days"
