"","cdm_name","group_level","min_data","max_data","shortage_year","estimate_before","estimate_after","diff","variable_level","country","data_type","set","variable_name"
"1","AP-HM","tigecycline",2014,2024,2015,49.5,63.125,1.27525252525253,"Age","France","secondary","inc",""
"2","H12O","tigecycline",2012,2020,2015,27.1,41.0333333333333,1.51414514145141,"Female","Spain","secondary","inc",""
"3","HUS","tigecycline",2011,2022,2015,50.5666666666667,62.8,1.24192485168095,"Male","Finland","secondary","inc",""
"4","INT","tigecycline",2013,2023,2015,0,71.05,Inf,"Male","Italy","secondary","inc",""
"5","INT","tigecycline",2013,2024,2015,35,59,1.68571428571429,"Age","Italy","secondary","inc",""
"6","InGef RDB","tigecycline",2013,2022,2015,53.5,33.6666666666667,0.629283489096573,"Age","Germany","claims P+S","inc",""
"7","TAUH","tigecycline",2010,2016,2015,47.35,66.25,1.39915522703274,"Male","Finland","secondary","inc",""
"8","H12O","tigecycline",2012,2020,2015,27,41.3333333333333,1.53086419753086,"Female","Spain","secondary","prev",""
"9","HUS","tigecycline",2011,2022,2015,50.1,63.275,1.26297405189621,"Male","Finland","secondary","prev",""
"10","INT","tigecycline",2013,2023,2015,0,71.1,Inf,"Male","Italy","secondary","prev",""
"11","INT","tigecycline",2013,2024,2015,43,59.25,1.37790697674419,"Age","Italy","secondary","prev",""
"12","InGef RDB","tigecycline",2013,2022,2015,53.5,30.3333333333333,0.566978193146417,"Age","Germany","claims P+S","prev",""
"13","TAUH","tigecycline",2010,2016,2015,45.6666666666667,66.9,1.46496350364964,"Male","Finland","secondary","prev",""
"14","PGH","tigecycline",2010,2023,2015,6.2,9.8,1.58064516129032,"Infection","Greece","secondary","prev","Indication any time prior"
"15","PGH","tigecycline",2010,2023,2015,5.63333333333333,8.1,1.43786982248521,"Infection","Greece","secondary","prev","Indication during prior 30 days"
"16","HUS","tigecycline",2011,2023,2015,2,1,0.5,"tigecycline","Finland","secondary","inc","duration"
